index,父微博用户ID,count,followers,TimeDIST,NetDIST,feature
65,0ecfb78997a9f4b7e89082e99df419a9,30,397,1082,1,0
41,d31b5740c902262940cdd70a0ec67945,24,4,39,1,0
44,421341f58cb2a4134854626f236a2179,25,243,3,1,0
56,241c189090dfcfcca8569b3c450166c7,28,494,190,1,0
145,f800af585a8a364091877f1a78f8042d,134,421,37,1,0
11,b19389e45e41f0f6f9fcfe00b8e2fb1e,12,32,4,2,0
24,c3f9a3cfaf113a8e77e666aa3598d39f,17,133,627,6,0
21,f1e5f36db91f42a581e5530f545dc739,16,134,1054,5,0
107,4598896a47797f8bcb161aa4b3c9065f,68,184,232,7,0
97,030e7716671a76d35daef80682dc8766,53,1155,84,3,0
17,eb3aad38db0c25328d79d18488b4e5b6,13,5,49,3,0
35,4712d2eb91bb6609b3f4d24bb6861b93,22,192,277,6,0
172,217a7740a38412db4525c1cfb44ff5ca,354,2555,163,2,0
10,fde4a2babeacce2bd786c58b450a1664,12,237,876,5,0
104,e51bbe8471fbf05507c47d2f746a7cd3,61,493,165,3,0
134,030e7716671a76d35daef80682dc8766,115,1155,708,8,0
128,8d114e5a8f8bb3c4250d10ca4d40772d,95,2148,158,2,0
159,7918251d2acf470a8dcdf36f55b94329,191,1774,96,2,0
139,e44f5031859d309f3353d2874ffa7192,125,2193,23,1,0
113,a75aa0e8bd656df0d430a84393b3801b,74,1701,1221,2,0
127,11ddd140f0335fa89475528208fa0f15,94,445,1155,2,0
88,cca0c77c6e8d5b3f373b5ad974f3e4f9,42,345,45,3,0
69,be351e2955488c82a832d5ef9c10b3cd,31,114,42,2,0
156,269514e3919489d4991aa60aa5b50574,171,1486,892,2,0
30,75225b24867d292f5063aa42166cf75d,20,73,50,1,0
32,172724f721d6b0eefe5f0be2ffeebbe2,21,63,1196,6,0
61,b6e425775fc670efa502b8f49952c5fc,29,394,311,3,0
74,8399687ce4901b4a49a55505236b82dd,32,14,27,2,0
143,58e0de5396d44f85c178d7e6f4114fdb,130,44,0,0,0
176,a910804dcbc2f02ce0de7de89055620e,459,5924,872,2,0
94,de573b15076940f1a2e51c3c48e6227a,48,690,1246,1,0
62,e885a188ab7609c93d98142758e58c47,29,83,83,4,0
171,c5b0c6257c846681c0162507831bdf0f,280,3246,93,2,0
174,b672fadcb306797bbba44cae1ecf5765,364,2253,120,2,0
55,3a3992c9294db76c9b129bb6f867ebe1,28,169,948,11,0
67,6e15f1bb4153d5761b721f261f0699e4,30,177,76,4,0
178,1c2facd59cff30780a9061551a37737e,529,9592,10,1,0
98,cad59422d0843f756f7e04b0925dcb5b,54,41,960,5,0
153,da403415766cebfe1d141e80a13ee820,161,1993,22,2,0
23,4f8e488a605c79fb1759edb353c27c8a,17,500,79,1,0
43,e7c5d11e0479dc188256163a35368d48,25,400,473,10,0
47,ecd350325dde0a7dd19804fb422d01d2,26,525,71,5,0
118,900ec2f4d62f774b7c62295d44a96cdf,80,662,143,3,0
52,3ac62331c13539bd2445e4797c704e3d,27,294,171,2,0
111,315b1004bdaec82614b43a087d1a3d47,73,297,272,3,0
95,a1518fbc4d82b37dcf7d2a603d567ad5,50,905,142,1,0
135,d2ad3981f3c1bb2873101010c66d6d52,117,1946,1232,2,0
5,bc70663bcd804c33683e1e3eaf708881,8,36,686,6,0
161,e61671ae6229fd2e329abffb1fab99a3,207,1999,130,2,0
125,e866f5c5af1be3c112c94f9a479827bf,89,143,96,1,0
168,bc6f6d19d2a9eca5a8720caca4e07908,252,877,145,2,0
63,fc90977dc07f74598122c786c439bbff,29,695,229,2,0
157,e61671ae6229fd2e329abffb1fab99a3,172,1999,118,3,0
140,0f5dd75fa2ed482523b629b5f83e4ac1,126,706,35,1,0
28,8fa0335c093c54eb2595dffd97c0f9eb,18,23,36,3,0
158,6177f90a758e2e2daa117d9258e7bea1,179,1477,199,1,0
1,5b5bd5208b5b14f999faf5052aaaaf84,5,18,223,6,0
83,cf949cfb65257a8c6010b4173f13a7d6,37,1463,618,3,0
100,32513335e97e6d5161b1115b5937827d,58,146,987,2,0
8,b7630dee31ceaa5098b55a4c4d126cb9,11,497,289,1,0
39,572c8ea89aab5ed2cd126945597b9bd6,24,123,540,2,0
173,15b621ce165a15a31d58731867c445ac,360,1985,226,2,0
84,28f7dce3fbe473c4e8bfcf51dda3cc3a,38,89,52,8,0
132,d462d66b8042ad8af59c9b1ab7cffa1a,107,1079,6,1,0
46,91c0757c84405b71a49354f2193b53e0,25,92,209,1,0
154,2a72d278ae183f70cee992bd6102dd61,161,3367,22,3,0
66,3b9355df6a2f443bf33c18ba4f86c495,30,142,38,4,0
14,0ca46645b3a3ae06bf0377e26eccffe8,13,58,520,4,0
73,731e0e5494614166df82a85ca9e1234a,32,245,862,3,0
121,f6c259579d9876137b7b68cc9aaf9300,81,845,173,2,0
124,2e59c64a49736a5b5647f41eec9be686,88,128,3,1,0
120,d462d66b8042ad8af59c9b1ab7cffa1a,81,1079,8,2,0
16,fee698f738b1c28e2731c98b46435cf6,13,214,948,2,0
76,8120df4b18e75c1113b9f25b7050d57d,33,160,1008,2,0
164,13dfba43de47dbcd2a07e01950c1e00d,220,3652,78,2,0
93,a7dd07d3655174cb41e7c95d503a1a5c,46,595,25,3,0
129,06e1bebf7d92e41093c20917656f1eba,97,1742,146,3,0
105,87a1ff5a60a23251ce64abfa2374afc9,66,131,520,3,0
142,3af9463319ed7385f1a1fdf0399b432e,129,659,108,2,0
37,d4f6820145d36bb575d092967103e654,23,185,259,5,0
58,47a449af51bec35db6a43c33a788e8fe,29,233,941,3,0
45,f8fcf75e00eedd3cb08e4e34b08e019c,25,803,1231,4,0
31,260dbe5a11f2b0736ada34eff2f830b6,20,107,90,8,0
80,95f27391d531f5c81412213294304065,35,1364,228,2,0
147,3fc3e4ebf89566b4063e51b0c826a744,139,988,845,1,0
165,0718603c176da086c69dc07966d46180,226,2531,14,4,0
122,93266b2d3675b4511327b09423131c67,83,42,3,2,0
75,d7d125f9605eb875d04cb2940202b7c7,33,407,48,3,0
38,be4f164289ab97d3390248a3746a53a8,23,31,1393,2,0
59,64f8f1aca6b5e1c9ea5d3f102295ac0e,29,55,53,1,0
77,3946b2e1829cee6dc19464d3b2064df4,33,983,25,5,0
190,a52c51402a6f2f708767e38a351e2d00,2276,1549,0,0,1
192,76bff4a214153e162c98d7ff7d7f9e06,2500,3918,0,0,1
189,bb315eee2c36d6bfe63036559625c98b,2015,503,0,0,1
183,df319c996508d16f19cc687aa7e19a83,1293,403,0,0,1
204,03e1002b3e6a2a4d9d1f110232da0088,6494,1370,0,0,1
200,1ccd36b5a88b0641491e8e315cc889cd,4183,260,0,0,1
203,12d856f800dc42c4c5229b99cbeb4053,6226,1289,0,0,1
186,8920a3b5f03b8f613873eea3b61a1c93,1686,873,0,0,1
202,43a971db6364c4ed7cd101feca243600,4567,31088,0,0,1
193,c7af761e0f90995b5a9a0827276f0512,2960,2079,0,0,1
194,318fc95107fd4ff003a3167940091152,3095,29574,0,0,1
191,bd996818a67dad91fc0fb67fe78a6bc3,2392,185,0,0,1
