index,父微博用户ID,count,followers,TimeDIST,NetDIST,feature
178,1c2facd59cff30780a9061551a37737e,529,9592,10,1,0
151,a554ae33e37578d387b1411277333e05,156,1744,63,4,0
89,d9f5bbb77995664d6afee258e73e5da8,43,1298,124,3,0
174,b672fadcb306797bbba44cae1ecf5765,364,2253,120,2,0
134,030e7716671a76d35daef80682dc8766,115,1155,708,8,0
88,cca0c77c6e8d5b3f373b5ad974f3e4f9,42,345,45,3,0
173,15b621ce165a15a31d58731867c445ac,360,1985,226,2,0
72,384e6364e5682f016694d2bb2d0a18af,32,774,639,1,0
20,3f0a38ee5bc82385e2bcc8d863a94bc5,15,47,78,3,0
69,be351e2955488c82a832d5ef9c10b3cd,31,114,42,2,0
93,a7dd07d3655174cb41e7c95d503a1a5c,46,595,25,3,0
138,18a4708426d8bac6532d5f9c04c14eed,121,392,34,2,0
125,e866f5c5af1be3c112c94f9a479827bf,89,143,96,1,0
45,f8fcf75e00eedd3cb08e4e34b08e019c,25,803,1231,4,0
90,61344f8424cd53f6d8c09e38931f696d,44,560,630,2,0
84,28f7dce3fbe473c4e8bfcf51dda3cc3a,38,89,52,8,0
47,ecd350325dde0a7dd19804fb422d01d2,26,525,71,5,0
104,e51bbe8471fbf05507c47d2f746a7cd3,61,493,165,3,0
74,8399687ce4901b4a49a55505236b82dd,32,14,27,2,0
87,b1bf8e72bfaa33d608dc77a7c93fd397,42,563,133,4,0
27,e8aa10ba877f946387545af371d5d28d,18,306,201,5,0
29,fe2190acce7e7067021687b395df8d73,20,310,31,1,0
161,e61671ae6229fd2e329abffb1fab99a3,207,1999,130,2,0
25,ff9364be5d4ec20fe38108ebc96d9671,17,190,60,4,0
111,315b1004bdaec82614b43a087d1a3d47,73,297,272,3,0
8,b7630dee31ceaa5098b55a4c4d126cb9,11,497,289,1,0
52,3ac62331c13539bd2445e4797c704e3d,27,294,171,2,0
53,0641ed991795a40fa273f227b071a216,27,291,853,1,0
154,2a72d278ae183f70cee992bd6102dd61,161,3367,22,3,0
165,0718603c176da086c69dc07966d46180,226,2531,14,4,0
16,fee698f738b1c28e2731c98b46435cf6,13,214,948,2,0
157,e61671ae6229fd2e329abffb1fab99a3,172,1999,118,3,0
139,e44f5031859d309f3353d2874ffa7192,125,2193,23,1,0
51,7fb22e9f92a9af0dbd65e2913608148a,27,371,175,1,0
108,19bdef4efe43dbbcb3e60500748411eb,68,1298,91,2,0
73,731e0e5494614166df82a85ca9e1234a,32,245,862,3,0
18,90e51040930c5218f65f0241454a07c3,14,152,1210,3,0
54,421341f58cb2a4134854626f236a2179,27,243,10,2,0
116,6f592f017deedd81889f8bff61c75db5,79,386,198,2,0
23,4f8e488a605c79fb1759edb353c27c8a,17,500,79,1,0
103,030e7716671a76d35daef80682dc8766,61,1155,22,4,0
150,cc6f1f8154906f716b10c87135e7d3a8,150,7993,10,1,0
158,6177f90a758e2e2daa117d9258e7bea1,179,1477,199,1,0
113,a75aa0e8bd656df0d430a84393b3801b,74,1701,1221,2,0
36,949507815d06969877dd4520c2e37cf8,22,20,24,5,0
147,3fc3e4ebf89566b4063e51b0c826a744,139,988,845,1,0
24,c3f9a3cfaf113a8e77e666aa3598d39f,17,133,627,6,0
163,2ac16bf2dbae9635afac69cd1f217340,220,3636,121,1,0
162,e728aa4d2d8ca96d73b8fcccace8ae02,217,1575,1031,1,0
41,d31b5740c902262940cdd70a0ec67945,24,4,39,1,0
21,f1e5f36db91f42a581e5530f545dc739,16,134,1054,5,0
164,13dfba43de47dbcd2a07e01950c1e00d,220,3652,78,2,0
100,32513335e97e6d5161b1115b5937827d,58,146,987,2,0
5,bc70663bcd804c33683e1e3eaf708881,8,36,686,6,0
97,030e7716671a76d35daef80682dc8766,53,1155,84,3,0
141,bdf80da5bad06006922252bf8df23f2b,128,1068,7,1,0
14,0ca46645b3a3ae06bf0377e26eccffe8,13,58,520,4,0
91,d02fe5ae9d34938a89bf00eb4b457152,45,1197,27,1,0
76,8120df4b18e75c1113b9f25b7050d57d,33,160,1008,2,0
117,77d694ff1856c42c3242a2e5d85a002f,80,352,213,1,0
94,de573b15076940f1a2e51c3c48e6227a,48,690,1246,1,0
95,a1518fbc4d82b37dcf7d2a603d567ad5,50,905,142,1,0
99,6d95e97915e780cbfb466933382150f6,58,537,22,4,0
167,68db5c4507b37034a90d34563e20225f,242,2953,198,3,0
115,d570d7cf1bca056e3d202b615c4dc4f6,77,2331,11,1,0
7,c88c1402e0556506de668354ff365f58,11,408,89,1,0
59,64f8f1aca6b5e1c9ea5d3f102295ac0e,29,55,53,1,0
11,b19389e45e41f0f6f9fcfe00b8e2fb1e,12,32,4,2,0
82,800aebd10aa859549712af7faa264bed,36,86,19,2,0
55,3a3992c9294db76c9b129bb6f867ebe1,28,169,948,11,0
155,e44f5031859d309f3353d2874ffa7192,171,2193,156,2,0
171,c5b0c6257c846681c0162507831bdf0f,280,3246,93,2,0
26,91072ce8d5415c31e243b8d6061232e0,18,103,123,2,0
32,172724f721d6b0eefe5f0be2ffeebbe2,21,63,1196,6,0
136,723ac18cb30b88a9a84748ed619d7ac8,119,721,461,11,0
33,3f50ea63658117548c577f042c5c1774,21,116,325,2,0
107,4598896a47797f8bcb161aa4b3c9065f,68,184,232,7,0
2,077e80d1749150eaf451bedd11f72b1a,6,315,133,1,0
86,291fe5cd9999a9c68cd4ea780d1ff5af,42,189,30,1,0
68,e358a266d565a54c065fe42091960951,31,471,172,3,0
9,87e18f98449d17f86b916716c3d4634c,11,77,890,4,0
10,fde4a2babeacce2bd786c58b450a1664,12,237,876,5,0
127,11ddd140f0335fa89475528208fa0f15,94,445,1155,2,0
135,d2ad3981f3c1bb2873101010c66d6d52,117,1946,1232,2,0
170,a910804dcbc2f02ce0de7de89055620e,271,5924,1039,1,0
71,bc7e4edf985d1da649b7e03556a5ac07,31,358,224,1,0
175,c360f812947e14510ff253242e51afae,379,4779,47,7,0
180,60c751318f4cf2adf7c870a1cf2ce0e8,577,2052,0,0,0
146,0718603c176da086c69dc07966d46180,138,2531,137,4,0
65,0ecfb78997a9f4b7e89082e99df419a9,30,397,1082,1,0
119,d1d370e2928a4d49a91edf4ced6db431,81,1907,29,3,0
198,59201a4cb94b46ae9ef8a16b9cdec55e,3641,553,0,0,1
184,768c8145171a276365164af3bd2b94c3,1410,5010,0,0,1
201,c7d207133d5343995b0e98e22a6edc7d,4190,9525,0,0,1
195,3e9e04cfa8924207ae0d0ced47cca7ba,3165,2138,0,0,1
203,12d856f800dc42c4c5229b99cbeb4053,6226,1289,0,0,1
197,407ca48f6b41117e98fb675a8af44261,3259,2573,0,0,1
205,013be8a44f35b9368f36715b053aa990,8317,736,0,0,1
191,bd996818a67dad91fc0fb67fe78a6bc3,2392,185,0,0,1
193,c7af761e0f90995b5a9a0827276f0512,2960,2079,0,0,1
188,4c9e111bfaa03881a458a460b0722709,1901,29,0,0,1
204,03e1002b3e6a2a4d9d1f110232da0088,6494,1370,0,0,1
200,1ccd36b5a88b0641491e8e315cc889cd,4183,260,0,0,1
