index,父微博用户ID,count,followers,TimeDIST,NetDIST,feature
162,e728aa4d2d8ca96d73b8fcccace8ae02,217,1575,1031,1,0
40,ca98347437f9505c19e5703e8fcb0a37,24,302,34,2,0
102,5f3c189c72bf5a9feaadfb3421054659,60,15,266,4,0
101,b958d07f1557dd534eb991855cc88dbb,59,862,317,5,0
38,be4f164289ab97d3390248a3746a53a8,23,31,1393,2,0
20,3f0a38ee5bc82385e2bcc8d863a94bc5,15,47,78,3,0
124,2e59c64a49736a5b5647f41eec9be686,88,128,3,1,0
109,ea151944121ef4b9e6ebfb3801c9ef8f,69,1163,1437,3,0
6,b6330966f6746bee4869e87eab41c198,9,47,55,2,0
43,e7c5d11e0479dc188256163a35368d48,25,400,473,10,0
4,048a97818c7f5918bb92b98922e97916,6,12,99,3,0
66,3b9355df6a2f443bf33c18ba4f86c495,30,142,38,4,0
81,ff9364be5d4ec20fe38108ebc96d9671,35,190,378,4,0
180,60c751318f4cf2adf7c870a1cf2ce0e8,577,2052,0,0,0
144,ef0c4a6456df38caa08d4a1df614faf6,131,3355,188,3,0
100,32513335e97e6d5161b1115b5937827d,58,146,987,2,0
160,ddbc3da8202cb48e0fe05de6a5b32090,201,1524,15,2,0
25,ff9364be5d4ec20fe38108ebc96d9671,17,190,60,4,0
21,f1e5f36db91f42a581e5530f545dc739,16,134,1054,5,0
54,421341f58cb2a4134854626f236a2179,27,243,10,2,0
85,716c769bb6d6aaf78ebb95a7ebab582d,40,725,155,1,0
122,93266b2d3675b4511327b09423131c67,83,42,3,2,0
14,0ca46645b3a3ae06bf0377e26eccffe8,13,58,520,4,0
35,4712d2eb91bb6609b3f4d24bb6861b93,22,192,277,6,0
67,6e15f1bb4153d5761b721f261f0699e4,30,177,76,4,0
164,13dfba43de47dbcd2a07e01950c1e00d,220,3652,78,2,0
119,d1d370e2928a4d49a91edf4ced6db431,81,1907,29,3,0
138,18a4708426d8bac6532d5f9c04c14eed,121,392,34,2,0
168,bc6f6d19d2a9eca5a8720caca4e07908,252,877,145,2,0
59,64f8f1aca6b5e1c9ea5d3f102295ac0e,29,55,53,1,0
171,c5b0c6257c846681c0162507831bdf0f,280,3246,93,2,0
128,8d114e5a8f8bb3c4250d10ca4d40772d,95,2148,158,2,0
172,217a7740a38412db4525c1cfb44ff5ca,354,2555,163,2,0
15,b5a7670dcd72b3bde6eca89ce4ec1e47,13,58,929,5,0
159,7918251d2acf470a8dcdf36f55b94329,191,1774,96,2,0
173,15b621ce165a15a31d58731867c445ac,360,1985,226,2,0
3,646d43ccb608675073ed75c40b23fa2f,6,20,1318,3,0
167,68db5c4507b37034a90d34563e20225f,242,2953,198,3,0
86,291fe5cd9999a9c68cd4ea780d1ff5af,42,189,30,1,0
96,20f71cd638c67f2764b4108fb3b8f7c8,51,972,340,2,0
175,c360f812947e14510ff253242e51afae,379,4779,47,7,0
106,d7d125f9605eb875d04cb2940202b7c7,68,407,7,1,0
55,3a3992c9294db76c9b129bb6f867ebe1,28,169,948,11,0
22,3dc2d5ee3ee4587a8a274cfbc7e3c20f,17,121,1145,4,0
150,cc6f1f8154906f716b10c87135e7d3a8,150,7993,10,1,0
32,172724f721d6b0eefe5f0be2ffeebbe2,21,63,1196,6,0
176,a910804dcbc2f02ce0de7de89055620e,459,5924,872,2,0
0,e1316d1dc863d17e90a681339aebcfd7,5,17,26,4,0
8,b7630dee31ceaa5098b55a4c4d126cb9,11,497,289,1,0
48,a034cd07bef17b080e02323c58340381,26,863,236,1,0
117,77d694ff1856c42c3242a2e5d85a002f,80,352,213,1,0
61,b6e425775fc670efa502b8f49952c5fc,29,394,311,3,0
155,e44f5031859d309f3353d2874ffa7192,171,2193,156,2,0
110,4472dd0f57eca1eaf4a12761cf586c61,70,1191,146,1,0
97,030e7716671a76d35daef80682dc8766,53,1155,84,3,0
126,5dd5daff5f842fc34c2af968efa64211,92,211,799,1,0
121,f6c259579d9876137b7b68cc9aaf9300,81,845,173,2,0
42,694a10534bd055365d87958e132de9dc,25,547,31,7,0
145,f800af585a8a364091877f1a78f8042d,134,421,37,1,0
34,c6a51351b972b5499dced3b1dec07927,21,493,750,1,0
41,d31b5740c902262940cdd70a0ec67945,24,4,39,1,0
31,260dbe5a11f2b0736ada34eff2f830b6,20,107,90,8,0
53,0641ed991795a40fa273f227b071a216,27,291,853,1,0
16,fee698f738b1c28e2731c98b46435cf6,13,214,948,2,0
37,d4f6820145d36bb575d092967103e654,23,185,259,5,0
74,8399687ce4901b4a49a55505236b82dd,32,14,27,2,0
141,bdf80da5bad06006922252bf8df23f2b,128,1068,7,1,0
30,75225b24867d292f5063aa42166cf75d,20,73,50,1,0
149,ddacffd27d6eecd0ac02961a72c89af4,148,2382,89,2,0
