index,父微博用户ID,count,followers,TimeDIST,NetDIST,feature
137,c4daf0e54d59ef196ea94c9a682209a4,120,1719,1025,2,0
32,172724f721d6b0eefe5f0be2ffeebbe2,21,63,1196,6,0
64,f38cb47fb0fdbeaf73da4bf23eb869b7,30,443,160,2,0
138,18a4708426d8bac6532d5f9c04c14eed,121,392,34,2,0
19,b7c1eed078f1cbaea13bd18afc8f06d5,15,201,899,3,0
158,6177f90a758e2e2daa117d9258e7bea1,179,1477,199,1,0
53,0641ed991795a40fa273f227b071a216,27,291,853,1,0
57,9fe79d7d96788a264c02ca3d9f018c8e,29,799,42,1,0
40,ca98347437f9505c19e5703e8fcb0a37,24,302,34,2,0
78,e36127e1d3fff51c63a84354a7e9a193,34,570,37,1,0
109,ea151944121ef4b9e6ebfb3801c9ef8f,69,1163,1437,3,0
15,b5a7670dcd72b3bde6eca89ce4ec1e47,13,58,929,5,0
88,cca0c77c6e8d5b3f373b5ad974f3e4f9,42,345,45,3,0
177,6c87a723ba495b516ccc5131f7737f98,477,11750,0,0,0
26,91072ce8d5415c31e243b8d6061232e0,18,103,123,2,0
118,900ec2f4d62f774b7c62295d44a96cdf,80,662,143,3,0
25,ff9364be5d4ec20fe38108ebc96d9671,17,190,60,4,0
18,90e51040930c5218f65f0241454a07c3,14,152,1210,3,0
65,0ecfb78997a9f4b7e89082e99df419a9,30,397,1082,1,0
151,a554ae33e37578d387b1411277333e05,156,1744,63,4,0
63,fc90977dc07f74598122c786c439bbff,29,695,229,2,0
43,e7c5d11e0479dc188256163a35368d48,25,400,473,10,0
145,f800af585a8a364091877f1a78f8042d,134,421,37,1,0
116,6f592f017deedd81889f8bff61c75db5,79,386,198,2,0
69,be351e2955488c82a832d5ef9c10b3cd,31,114,42,2,0
157,e61671ae6229fd2e329abffb1fab99a3,172,1999,118,3,0
142,3af9463319ed7385f1a1fdf0399b432e,129,659,108,2,0
7,c88c1402e0556506de668354ff365f58,11,408,89,1,0
11,b19389e45e41f0f6f9fcfe00b8e2fb1e,12,32,4,2,0
80,95f27391d531f5c81412213294304065,35,1364,228,2,0
172,217a7740a38412db4525c1cfb44ff5ca,354,2555,163,2,0
163,2ac16bf2dbae9635afac69cd1f217340,220,3636,121,1,0
70,7447c09ce4cadb45552493a902b089ed,31,141,100,2,0
61,b6e425775fc670efa502b8f49952c5fc,29,394,311,3,0
174,b672fadcb306797bbba44cae1ecf5765,364,2253,120,2,0
170,a910804dcbc2f02ce0de7de89055620e,271,5924,1039,1,0
135,d2ad3981f3c1bb2873101010c66d6d52,117,1946,1232,2,0
165,0718603c176da086c69dc07966d46180,226,2531,14,4,0
154,2a72d278ae183f70cee992bd6102dd61,161,3367,22,3,0
76,8120df4b18e75c1113b9f25b7050d57d,33,160,1008,2,0
168,bc6f6d19d2a9eca5a8720caca4e07908,252,877,145,2,0
107,4598896a47797f8bcb161aa4b3c9065f,68,184,232,7,0
94,de573b15076940f1a2e51c3c48e6227a,48,690,1246,1,0
56,241c189090dfcfcca8569b3c450166c7,28,494,190,1,0
27,e8aa10ba877f946387545af371d5d28d,18,306,201,5,0
143,58e0de5396d44f85c178d7e6f4114fdb,130,44,0,0,0
3,646d43ccb608675073ed75c40b23fa2f,6,20,1318,3,0
97,030e7716671a76d35daef80682dc8766,53,1155,84,3,0
179,f911a0b97f2bbfd1244b92b1123c0de3,569,600,43,2,0
9,87e18f98449d17f86b916716c3d4634c,11,77,890,4,0
54,421341f58cb2a4134854626f236a2179,27,243,10,2,0
114,7bf66fad923faccb45ed31c00eeb2e70,77,1694,52,2,0
17,eb3aad38db0c25328d79d18488b4e5b6,13,5,49,3,0
21,f1e5f36db91f42a581e5530f545dc739,16,134,1054,5,0
121,f6c259579d9876137b7b68cc9aaf9300,81,845,173,2,0
160,ddbc3da8202cb48e0fe05de6a5b32090,201,1524,15,2,0
147,3fc3e4ebf89566b4063e51b0c826a744,139,988,845,1,0
139,e44f5031859d309f3353d2874ffa7192,125,2193,23,1,0
23,4f8e488a605c79fb1759edb353c27c8a,17,500,79,1,0
98,cad59422d0843f756f7e04b0925dcb5b,54,41,960,5,0
73,731e0e5494614166df82a85ca9e1234a,32,245,862,3,0
122,93266b2d3675b4511327b09423131c67,83,42,3,2,0
91,d02fe5ae9d34938a89bf00eb4b457152,45,1197,27,1,0
