index,父微博用户ID,count,followers,TimeDIST,NetDIST,feature
167,68db5c4507b37034a90d34563e20225f,242,2953,198,3,0
44,421341f58cb2a4134854626f236a2179,25,243,3,1,0
41,d31b5740c902262940cdd70a0ec67945,24,4,39,1,0
117,77d694ff1856c42c3242a2e5d85a002f,80,352,213,1,0
148,01b874689f63fbbf1a437efa9a1a31cb,142,3873,104,2,0
67,6e15f1bb4153d5761b721f261f0699e4,30,177,76,4,0
18,90e51040930c5218f65f0241454a07c3,14,152,1210,3,0
73,731e0e5494614166df82a85ca9e1234a,32,245,862,3,0
155,e44f5031859d309f3353d2874ffa7192,171,2193,156,2,0
134,030e7716671a76d35daef80682dc8766,115,1155,708,8,0
151,a554ae33e37578d387b1411277333e05,156,1744,63,4,0
94,de573b15076940f1a2e51c3c48e6227a,48,690,1246,1,0
79,291fe5cd9999a9c68cd4ea780d1ff5af,34,189,1089,1,0
171,c5b0c6257c846681c0162507831bdf0f,280,3246,93,2,0
56,241c189090dfcfcca8569b3c450166c7,28,494,190,1,0
92,191847c2b9342d87ff5693fd22d7b6be,46,236,373,2,0
156,269514e3919489d4991aa60aa5b50574,171,1486,892,2,0
116,6f592f017deedd81889f8bff61c75db5,79,386,198,2,0
111,315b1004bdaec82614b43a087d1a3d47,73,297,272,3,0
164,13dfba43de47dbcd2a07e01950c1e00d,220,3652,78,2,0
154,2a72d278ae183f70cee992bd6102dd61,161,3367,22,3,0
114,7bf66fad923faccb45ed31c00eeb2e70,77,1694,52,2,0
5,bc70663bcd804c33683e1e3eaf708881,8,36,686,6,0
120,d462d66b8042ad8af59c9b1ab7cffa1a,81,1079,8,2,0
157,e61671ae6229fd2e329abffb1fab99a3,172,1999,118,3,0
101,b958d07f1557dd534eb991855cc88dbb,59,862,317,5,0
43,e7c5d11e0479dc188256163a35368d48,25,400,473,10,0
20,3f0a38ee5bc82385e2bcc8d863a94bc5,15,47,78,3,0
2,077e80d1749150eaf451bedd11f72b1a,6,315,133,1,0
137,c4daf0e54d59ef196ea94c9a682209a4,120,1719,1025,2,0
145,f800af585a8a364091877f1a78f8042d,134,421,37,1,0
132,d462d66b8042ad8af59c9b1ab7cffa1a,107,1079,6,1,0
38,be4f164289ab97d3390248a3746a53a8,23,31,1393,2,0
166,51e76121da372c9271062baa298b8863,238,1605,1213,1,0
178,1c2facd59cff30780a9061551a37737e,529,9592,10,1,0
11,b19389e45e41f0f6f9fcfe00b8e2fb1e,12,32,4,2,0
88,cca0c77c6e8d5b3f373b5ad974f3e4f9,42,345,45,3,0
99,6d95e97915e780cbfb466933382150f6,58,537,22,4,0
10,fde4a2babeacce2bd786c58b450a1664,12,237,876,5,0
